id,official_name,name,maker,barcode,base_amount,base_unit,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,salt_g,calcium_mg,iron_mg,vitamin_a_mcg,vitamin_e_mg,vitamin_b1_mg,vitamin_b2_mg,vitamin_c_mg,saturated_fat_g
mext_06222,（にんじん類）　ミニキャロット　根　生,ミニキャロット　根　生,,,100,g,26,0.7,0.2,7.5,2.7,0,30,0.3,500,0.6,0.04,0.03,4,
mext_06223,（にんにく類）　にんにく　りん茎　生,にんにく　りん茎　生,,,100,g,129,6.4,0.9,27.5,6.2,0,14,0.8,0,0.5,0.19,0.07,12,
mext_06349,（にんにく類）　にんにく　りん茎　油いため,にんにく　りん茎　油いため,,,100,g,191,8.2,5.9,30.6,6.8,0,18,1.2,0,1.5,0.23,0.09,10,
mext_06224,（にんにく類）　茎にんにく　花茎　生,茎にんにく　花茎　生,,,100,g,44,1.9,0.3,10.6,3.8,0,45,0.5,60,0.8,0.11,0.1,45,
mext_06225,（にんにく類）　茎にんにく　花茎　ゆで,茎にんにく　花茎　ゆで,,,100,g,43,1.7,0.2,10.7,3.8,0,40,0.5,56,0.8,0.1,0.07,39,
mext_06226,（ねぎ類）　根深ねぎ　葉　軟白　生,根深ねぎ　葉　軟白　生,,,100,g,35,1.4,0.1,8.3,2.5,0,36,0.3,7,0.2,0.05,0.04,14,
mext_06350,（ねぎ類）　根深ねぎ　葉　軟白　ゆで,根深ねぎ　葉　軟白　ゆで,,,100,g,28,1.3,0.1,6.8,2.5,0,28,0.3,6,0.1,0.04,0.03,10,
mext_06351,（ねぎ類）　根深ねぎ　葉　軟白　油いため,根深ねぎ　葉　軟白　油いため,,,100,g,77,1.6,4.4,9.5,2.7,0,35,0.3,6,0.9,0.06,0.05,15,
mext_06227,（ねぎ類）　葉ねぎ　葉　生,葉ねぎ　葉　生,,,100,g,29,1.9,0.3,6.5,3.2,0,80,1,120,0.9,0.06,0.11,32,
mext_06352,（ねぎ類）　葉ねぎ　葉　油いため,葉ねぎ　葉　油いため,,,100,g,77,2.1,5.2,7.9,3.9,0,95,1.2,150,2.1,0.07,0.12,43,
mext_06410,（ねぎ類）　九条ねぎ　葉　生,九条ねぎ　葉　生,,,100,g,32,1.7,0.3,7.3,3.3,0,69,0.5,110,0.6,0.06,0.1,27,
mext_06228,（ねぎ類）　こねぎ　葉　生,こねぎ　葉　生,,,100,g,26,2,0.3,5.4,2.5,0,100,1,190,1.3,0.08,0.14,44,
mext_06411,（ねぎ類）　めねぎ　葉　生,めねぎ　葉　生,,,100,g,15,1.5,0.3,2.4,1.8,0,67,1.2,240,0.8,0.08,0.1,12,
mext_06229,のざわな　葉　生,のざわな　葉　生,,,100,g,14,0.9,0.1,3.5,2,0.1,130,0.6,100,0.5,0.06,0.1,41,
mext_06230,のざわな　漬物　塩漬,のざわな　漬物　塩漬,,,100,g,17,1.2,0.1,4.1,2.5,1.5,130,0.4,130,0.7,0.05,0.11,27,
mext_06231,のざわな　漬物　調味漬,のざわな　漬物　調味漬,,,100,g,22,1.7,0,5.4,3.1,2.4,94,0.7,200,1.3,0.03,0.11,26,
mext_06232,のびる　りん茎葉　生,のびる　りん茎葉　生,,,100,g,63,3.2,0.2,15.5,6.9,0,100,2.6,67,1.3,0.08,0.22,60,
mext_06233,はくさい　結球葉　生,はくさい　結球葉　生,,,100,g,13,0.8,0.1,3.2,1.3,0,43,0.3,8,0.2,0.03,0.03,19,
mext_06234,はくさい　結球葉　ゆで,はくさい　結球葉　ゆで,,,100,g,13,0.9,0.1,2.9,1.4,0,43,0.3,11,0.1,0.01,0.01,10,
mext_06235,はくさい　漬物　塩漬,はくさい　漬物　塩漬,,,100,g,17,1.5,0.1,3.3,1.8,2.1,39,0.4,1,0.2,0.04,0.03,29,
mext_06236,はくさい　漬物　キムチ,はくさい　漬物　キムチ,,,100,g,27,2.3,0.1,5.4,2.2,2.9,50,0.5,15,0.5,0.04,0.06,15,
mext_06237,パクチョイ　葉　生,パクチョイ　葉　生,,,100,g,15,1.6,0.2,2.7,1.8,0,100,0.8,150,0.9,0.07,0.12,45,
mext_06238,バジル　葉　生,バジル　葉　生,,,100,g,21,2,0.6,4,4,0,240,1.5,520,3.5,0.08,0.19,16,
mext_06239,パセリ　葉　生,パセリ　葉　生,,,100,g,34,4,0.7,7.8,6.8,0,290,7.5,620,3.3,0.12,0.24,120,
mext_06240,はつかだいこん　根　生,はつかだいこん　根　生,,,100,g,13,0.8,0.1,3.1,1.2,0,21,0.3,0,0,0.02,0.02,19,
mext_06392,はなっこりー　生,はなっこりー　生,,,100,g,34,3.6,0.5,5.4,3.1,0,51,0.5,97,1.3,0.09,0.15,90,
mext_06241,はやとうり　果実　白色種　生,はやとうり　果実　白色種　生,,,100,g,20,0.6,0.1,4.9,1.2,0,12,0.3,0,0.2,0.02,0.03,11,
mext_06242,はやとうり　果実　白色種　塩漬,はやとうり　果実　白色種　塩漬,,,100,g,17,0.6,,4.4,1.6,3.6,8,0.2,0,0.1,0.02,0.04,9,
mext_06353,はやとうり　果実　緑色種　生,はやとうり　果実　緑色種　生,,,100,g,21,0.6,0.1,4.9,1.2,0,12,0.3,2,0.2,0.02,0.03,11,
mext_06243,ビーツ　根　生,ビーツ　根　生,,,100,g,38,1.6,0.1,9.3,2.7,0.1,12,0.4,0,0.1,0.05,0.05,5,
mext_06244,ビーツ　根　ゆで,ビーツ　根　ゆで,,,100,g,42,1.5,0.1,10.2,2.9,0.1,15,0.4,0,0.1,0.04,0.04,3,
mext_06245,（ピーマン類）　青ピーマン　果実　生,青ピーマン　果実　生,,,100,g,20,0.9,0.2,5.1,2.3,0,11,0.4,33,0.8,0.03,0.03,76,
mext_06246,（ピーマン類）　青ピーマン　果実　油いため,青ピーマン　果実　油いため,,,100,g,54,0.9,4.3,5.4,2.4,0,11,0.7,35,0.9,0.03,0.03,79,
mext_06247,（ピーマン類）　赤ピーマン　果実　生,赤ピーマン　果実　生,,,100,g,28,1,0.2,7.2,1.6,0,7,0.4,88,4.3,0.06,0.14,170,
mext_06248,（ピーマン類）　赤ピーマン　果実　油いため,赤ピーマン　果実　油いため,,,100,g,69,1,4.3,7.6,1.6,0,7,0.7,92,4.4,0.06,0.16,180,
mext_06393,（ピーマン類）　オレンジピーマン　果実　生,オレンジピーマン　果実　生,,,100,g,19,0.9,0.3,4.2,1.8,0,5,0.3,53,3.1,0.04,0.03,150,
mext_06394,（ピーマン類）　オレンジピーマン　果実　油いため,オレンジピーマン　果実　油いため,,,100,g,81,1.1,5.1,7.6,,0,5,0.4,60,5.2,0.05,0.04,170,
mext_06249,（ピーマン類）　黄ピーマン　果実　生,黄ピーマン　果実　生,,,100,g,28,0.8,0.2,6.6,1.3,0,8,0.3,17,2.4,0.04,0.03,150,
mext_06250,（ピーマン類）　黄ピーマン　果実　油いため,黄ピーマン　果実　油いため,,,100,g,61,0.8,4.3,6.9,1.3,0,8,0.5,18,2.5,0.04,0.03,160,
mext_06251,（ピーマン類）　トマピー　果実　生,トマピー　果実　生,,,100,g,33,1,0.2,7.5,1.6,0,8,0.4,160,4.3,0.05,0.09,200,
mext_06252,ひのな　根・茎葉　生,ひのな　根・茎葉　生,,,100,g,17,1,,4.7,3,0,130,0.8,98,0.7,0.05,0.13,52,
mext_06253,ひのな　根・茎葉　甘酢漬,ひのな　根・茎葉　甘酢漬,,,100,g,70,1.4,0.5,17.3,4.7,2.8,130,0.9,170,1.4,0.04,0.08,39,
mext_06254,ひろしまな　葉　生,ひろしまな　葉　生,,,100,g,19,1.5,0.2,4.2,2.4,0.1,200,0.8,160,1.3,0.06,0.15,49,
mext_06255,ひろしまな　塩漬,ひろしまな　塩漬,,,100,g,15,1.2,0.2,3.3,2.4,2.1,74,0.8,170,0.6,0.02,0.07,15,
mext_06256,（ふき類）　ふき　葉柄　生,ふき　葉柄　生,,,100,g,11,0.3,0,3,1.3,0.1,40,0.1,4,0.2,,0.02,2,
mext_06257,（ふき類）　ふき　葉柄　ゆで,ふき　葉柄　ゆで,,,100,g,7,0.3,0,1.9,1.1,0.1,34,0.1,5,0.2,,0.01,0,
mext_06258,（ふき類）　ふきのとう　花序　生,ふきのとう　花序　生,,,100,g,38,2.5,0.1,10,6.4,0,61,1.3,33,3.2,0.1,0.17,14,
mext_06259,（ふき類）　ふきのとう　花序　ゆで,ふきのとう　花序　ゆで,,,100,g,31,2.5,0.1,7,4.2,0,46,0.7,22,2.4,0.06,0.08,3,
mext_06260,ふじまめ　若ざや　生,ふじまめ　若ざや　生,,,100,g,32,2.5,0.1,7.4,4.4,0,43,0.8,20,0.1,0.08,0.1,13,
mext_06261,ふだんそう　葉　生,ふだんそう　葉　生,,,100,g,17,2,0.1,3.7,3.3,0.2,75,3.6,310,1.7,0.07,0.23,19,
mext_06262,ふだんそう　葉　ゆで,ふだんそう　葉　ゆで,,,100,g,26,2.8,0.1,5.4,3.8,0.2,130,2.1,320,1.7,0.03,0.11,7,
mext_06263,ブロッコリー　花序　生,ブロッコリー　花序　生,,,100,g,37,5.4,0.6,6.6,5.1,0,50,1.3,75,3,0.17,0.23,140,
mext_06264,ブロッコリー　花序　ゆで,ブロッコリー　花序　ゆで,,,100,g,30,3.9,0.4,5.2,4.3,0,41,0.9,69,2.7,0.06,0.09,55,
mext_06395,ブロッコリー　花序　電子レンジ調理,ブロッコリー　花序　電子レンジ調理,,,100,g,56,5.7,0.7,7,,0,54,1.4,83,3.4,0.18,0.25,140,
mext_06396,ブロッコリー　花序　焼き,ブロッコリー　花序　焼き,,,100,g,83,9.9,1.2,8.4,,0,90,2.3,140,6,0.27,0.4,150,
mext_06397,ブロッコリー　花序　油いため,ブロッコリー　花序　油いため,,,100,g,109,6.9,6.3,6.1,,0,64,1.7,97,5.8,0.2,0.28,130,
